# Li Haiquan
# Jilin University of Chemical Technology, China
# ORCID: https://orcid.org/0009-0000-7365-6535
# Email: lihaiquan@jluct.edu.cn
third-party independent reproduction
host: PC-202607051001
toolchain: Lean 4.34.0-rc2, x86_64-w64-windows-gnu, commit 6a10ac8c22beadecabdbb0919c2b50214762f91d
mathlib: v4.34.0-rc2, local cache already present, no download in this run
command: lake env lean -o <module>.olean -i <module>.ilean <module>.lean
order: Lemma_9_5C Unitarity_Assembly Lemma_9_4 Theorem_9_5_Closure Lemma_11_3 Final_Assembly Note_9_5B_mJet Final_Assembly_Unconditional Lemma_9_5C_TaylorRemainder Theorem_9_3A MotherEquation_CoreVerification
started: 2026-09-20 00:10:59.921 +08:00
ended: 2026-09-20 00:19:13.371 +08:00
ALL_OK=True
TOTAL_MS=493395
TOTAL=00:08:13.395
module	exit	elapsed_ms
Lemma_9_5C	0	69594
Unitarity_Assembly	0	33586
Lemma_9_4	0	32217
Theorem_9_5_Closure	0	31102
Lemma_11_3	0	88164
Final_Assembly	0	56206
Note_9_5B_mJet	0	56879
Final_Assembly_Unconditional	0	55859
Lemma_9_5C_TaylorRemainder	0	32042
Theorem_9_3A	0	29396
MotherEquation_CoreVerification	0	7912
